"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fffh&geo=10fvvvvvvvvvo&sec=g&linechart=&columnchart=ELEC.GEN.COW-CT-99.A&map=ELEC.GEN.COW-CT-99.A&freq=A&start=2001&end=2020&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 23 2021 19:22:06 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Utah : wind","thousand megawatthours","ELEC.GEN.WND-UT-99.A","--","--","--","--","--","--","--",24,160,448,573,704,540,660,626,822,858,795,819,803
"Utah : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-UT-99.A","--","--","--","--","--","--","--","--","--","--","--",2,2,2,32,1054,2211,2224,2186,2496
"Utah : geothermal","thousand megawatthours","ELEC.GEN.GEO-UT-99.A",153,218,198,195,185,191,164,254,279,277,330,335,319,522,430,485,481,446,310,354
"Utah : biomass",,"ELEC.GEN.BIO-UT-99.A",,,,,,,,,,,,,,,,,,,,
"Utah : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-UT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah : other biomass","thousand megawatthours","ELEC.GEN.WAS-UT-99.A",5,6,5,4,4,15,31,24,48,56,58,60,71,73,85,84,78,79,71,77
"Utah : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-UT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah : all solar",,"ELEC.GEN.TSN-UT-99.A",,,,,,,,,,,,,,,,,,,,
"Utah : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-UT-99.A","--","--","--","--","--","--","--","--","--","--","--",2,2,2,32,1054,2211,2224,2186,2496
"Wyoming",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Wyoming : all fuels (utility-scale)",,"ELEC.GEN.ALL-WY-99.A",,,,,,,,,,,,,,,,,,,,
"Wyoming : coal","thousand megawatthours","ELEC.GEN.COW-WY-99.A",42789,41923,42341,43346,43346,42892,43127,43808,41954,42987,40961,43412,46437,43409,43091,40027,40069,39679,35376,33321
"Wyoming : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WY-99.A",36,40,45,46,42,46,47,44,50,56,55,52,39,45,45,56,44,40,44,45
"Wyoming : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : natural gas","thousand megawatthours","ELEC.GEN.NG-WY-99.A",592,713,280,87,325,501,594,495,488,459,459,513,512,557,722,788,779,896,1029,1406
"Wyoming : nuclear","thousand megawatthours","ELEC.GEN.NUC-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WY-99.A",879,584,594,593,808,843,729,835,967,1024,1224,893,711,869,868,973,1124,976,992,1102
"Wyoming : other renewables","thousand megawatthours","ELEC.GEN.AOR-WY-99.A",365,447,366,617,717,759,755,963,2226,3247,4612,4369,4433,4406,3757,4389,4321,4058,4343,5308
"Wyoming : wind","thousand megawatthours","ELEC.GEN.WND-WY-99.A",365,447,366,617,717,759,755,963,2226,3247,4612,4369,4433,4406,3757,4389,4321,4057,4163,5143
"Wyoming : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,180,165
"Wyoming : geothermal","thousand megawatthours","ELEC.GEN.GEO-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : biomass",,"ELEC.GEN.BIO-WY-99.A",,,,,,,,,,,,,,,,,,,,
"Wyoming : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : other biomass","thousand megawatthours","ELEC.GEN.WAS-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : all solar",,"ELEC.GEN.TSN-WY-99.A",,,,,,,,,,,,,,,,,,,,
"Wyoming : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,180,165
"Pacific Contiguous",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"California",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"California : all fuels (utility-scale)",,"ELEC.GEN.ALL-CA-99.A",,,,,,,,,,,,,,,,,,,,
"California : coal","thousand megawatthours","ELEC.GEN.COW-CA-99.A",2233,2328,2326,2238,2135,2235,2298,2280,2050,2100,1982,1375,823,805,298,319,291,281,240,290
"California : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CA-99.A",935,131,396,172,257,272,278,162,137,54,47,134,48,47,85,92,46,69,51,47
"California : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CA-99.A",2120,1830,1996,2091,2287,2096,2056,1580,1406,1006,864,156,21,19,0,84,0,0,0,0
"California : natural gas","thousand megawatthours","ELEC.GEN.NG-CA-99.A",111932,89624,91432,100222,93354,105691,115700,119992,113463,107522,88974,119668,119523,120426,116140,97074,88350,89805,85841,91857
"California : nuclear","thousand megawatthours","ELEC.GEN.NUC-CA-99.A",33220,34352,35594,30268,36155,31959,35792,32482,31764,32201,36663,18507,17912,16986,18505,18908,17901,18214,16165,16259
"California : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CA-99.A",25542,31141,36371,34141,39632,48047,27328,24128,27888,33431,42557,26837,23755,16531,13808,28942,42363,26331,38355,21442
"California : other renewables","thousand megawatthours","ELEC.GEN.AOR-CA-99.A",21630,23407,23545,23971,23654,23915,24845,24784,25540,25450,27222,29967,35578,41917,45395,49712,54544,58632,58921,62019
"California : wind","thousand megawatthours","ELEC.GEN.WND-CA-99.A",3500,3803,3895,4306,4262,4883,5585,5385,5840,6079,7752,9754,12822,12992,12230,13509,12823,14024,13735,13645
"California : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CA-99.A",542,554,534,571,537,495,557,670,647,769,889,1382,3814,9932,14814,18807,24353,26985,28332,30514
"California : geothermal","thousand megawatthours","ELEC.GEN.GEO-CA-99.A",12181,13074,12982,13105,13023,12821,12991,12883,12853,12600,12552,12519,12307,12102,11883,11457,11560,11677,10914,11928
"California : biomass",,"ELEC.GEN.BIO-CA-99.A",,,,,,,,,,,,,,,,,,,,
"California : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-CA-99.A",3324,3958,3880,3827,3609,3422,3407,3484,3732,3551,3445,3798,3792,3977,3584,3029,2967,3123,3218,3212
"California : other biomass","thousand megawatthours","ELEC.GEN.WAS-CA-99.A",2083,2019,2254,2162,2224,2294,2305,2362,2468,2451,2585,2514,2843,2913,2884,2910,2841,2824,2723,2720
"California : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-CA-99.A",-350,-241,-912,-817,120,96,310,321,153,-171,-89,575,196,-105,113,-259,407,-149,-31,-37
"California : all solar",,"ELEC.GEN.TSN-CA-99.A",,,,,,,,,,,,,,,,,,,,
"California : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CA-99.A",542,554,534,571,537,495,557,670,647,769,889,1382,3814,9932,14814,18807,24353,26985,28332,30514
"Oregon",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Oregon : all fuels (utility-scale)",,"ELEC.GEN.ALL-OR-99.A",,,,,,,,,,,,,,,,,,,,
"Oregon : coal","thousand megawatthours","ELEC.GEN.COW-OR-99.A",4445,3780,4305,3556,3466,2371,4352,4044,3197,4126,3334,2634,3759,3193,2377,1898,1728,1476,2569,1630
"Oregon : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OR-99.A",102,7,44,63,78,12,14,15,8,3,8,6,6,10,6,5,10,5,7,4
"Oregon : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : natural gas","thousand megawatthours","ELEC.GEN.NG-OR-99.A",10983,7813,10244,13525,13191,11239,14858,17387,16133,15651,8498,11625,14363,12699,16237,15307,15066,17923,20932,18756
"Oregon : nuclear","thousand megawatthours","ELEC.GEN.NUC-OR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-OR-99.A",28645,34413,33250,33081,30948,37850,33587,33805,33034,30542,42315,39410,33098,35262,31254,34549,38294,35443,30322,33642
"Oregon : other renewables","thousand megawatthours","ELEC.GEN.AOR-OR-99.A",840,1049,1083,1115,1601,1829,2228,3423,4272,4757,5490,7207,8635,8914,7950,8382,7576,9233,8392,10784
"Oregon : wind","thousand megawatthours","ELEC.GEN.WND-OR-99.A",89,376,444,619,734,931,1247,2575,3470,3920,4775,6343,7456,7555,6632,7157,6227,7447,6569,8550
"Oregon : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OR-99.A","--","--","--","--","--","--","--","--","--","--",0,6,20,24,24,41,194,572,676,1075
"Oregon : geothermal","thousand megawatthours","ELEC.GEN.GEO-OR-99.A","--","--","--","--","--","--","--","--","--","--","--",26,165,183,179,184,174,176,185,157
"Oregon : biomass",,"ELEC.GEN.BIO-OR-99.A",,,,,,,,,,,,,,,,,,,,
"Oregon : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-OR-99.A",701,624,554,410,768,799,843,717,674,632,492,600,700,803,747,641,619,680,637,668
"Oregon : other biomass","thousand megawatthours","ELEC.GEN.WAS-OR-99.A",50,49,85,86,98,99,139,131,128,205,222,232,294,348,369,359,361,357,324,335
"Oregon : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-OR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : all solar",,"ELEC.GEN.TSN-OR-99.A",,,,,,,,,,,,,,,,,,,,
"Oregon : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OR-99.A","--","--","--","--","--","--","--","--","--","--",0,6,20,24,24,41,194,572,676,1075
"Washington",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Washington : all fuels (utility-scale)",,"ELEC.GEN.ALL-WA-99.A",,,,,,,,,,,,,,,,,,,,
"Washington : coal","thousand megawatthours","ELEC.GEN.COW-WA-99.A",9082,8661,11090,10409,10494,6373,8557,8762,7478,8527,5229,3763,6740,6720,5052,4602,5490,5383,7170,5170
"Washington : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WA-99.A",320,73,67,86,67,38,37,35,54,32,37,27,24,24,22,22,23,24,20,22
"Washington : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0
"Washington : natural gas","thousand megawatthours","ELEC.GEN.NG-WA-99.A",9374,4719,7083,8469,8579,7495,7287,9809,11971,10359,4850,5438,11424,11059,13046,10982,10849,10535,15729,13839
"Washington : nuclear","thousand megawatthours","ELEC.GEN.NUC-WA-99.A",8250,9048,7615,8982,8242,9328,8109,9270,6634,9241,4806,9334,8461,9497,8161,9626,8128,9708,8866,9427
"Washington : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WA-99.A",54734,78167,71757,71576,72075,82008,78829,77637,72933,68288,91818,89464,78155,79463,73405,78346,82183,80883,66018,75492
"Washington : other renewables","thousand megawatthours","ELEC.GEN.AOR-WA-99.A",1221,1724,2128,2311,2114,2503,3731,4938,5045,6617,8014,8214,8822,9108,9067,10050,8824,9705,8263,9878
"Washington : wind","thousand megawatthours","ELEC.GEN.WND-WA-99.A","--",417,604,737,498,1038,2438,3657,3572,4745,6262,6600,7004,7268,7075,8042,6925,7900,6677,8326
"Washington : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WA-99.A","--","--","--","--","--","--","--",0,0,0,1,1,1,1,1,1,0,2,44,47
"Washington : geothermal","thousand megawatthours","ELEC.GEN.GEO-WA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Washington : biomass",,"ELEC.GEN.BIO-WA-99.A",,,,,,,,,,,,,,,,,,,,
"Washington : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-WA-99.A",1065,1126,1343,1389,1425,1281,1116,1113,1305,1676,1582,1375,1533,1527,1692,1708,1571,1571,1431,1367
"Washington : other biomass","thousand megawatthours","ELEC.GEN.WAS-WA-99.A",156,181,182,185,190,184,176,168,167,196,169,239,284,313,299,299,328,232,111,138
"Washington : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WA-99.A","--",-5,-3,-10,8,47,45,49,52,53,52,44,7,-5,40,-2,3,28,9,14
"Washington : all solar",,"ELEC.GEN.TSN-WA-99.A",,,,,,,,,,,,,,,,,,,,
"Washington : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WA-99.A","--","--","--","--","--","--","--",0,0,0,1,1,1,1,1,1,0,2,44,47
"Pacific Noncontiguous",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Alaska",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Alaska : all fuels (utility-scale)",,"ELEC.GEN.ALL-AK-99.A",,,,,,,,,,,,,,,,,,,,
"Alaska : coal","thousand megawatthours","ELEC.GEN.COW-AK-99.A",565,575,550,649,624,617,641,618,631,620,656,685,625,558,668,594,556,629,683,744
"Alaska : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AK-99.A",937,962,846,747,759,768,1010,978,1157,937,945,1038,819,446,747,831,881,809,901,945
"Alaska : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : natural gas","thousand megawatthours","ELEC.GEN.NG-AK-99.A",3896,3778,3354,3623,3724,4058,3868,4002,3577,3750,3906,3606,3421,3288,3090,3040,3235,2948,2687,2228
"Alaska : nuclear","thousand megawatthours","ELEC.GEN.NUC-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AK-99.A",1346,1439,1583,1498,1464,1224,1291,1172,1324,1433,1345,1575,1435,1539,1569,1659,1644,1664,1623,1807
"Alaska : other renewables","thousand megawatthours","ELEC.GEN.AOR-AK-99.A",1,12,6,9,6,7,11,5,14,19,16,40,197,214,215,212,185,200,180,203
"Alaska : wind","thousand megawatthours","ELEC.GEN.WND-AK-99.A",1,"--","--","--",1,1,1,0,7,13,12,37,145,152,160,169,142,155,143,163
"Alaska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : geothermal","thousand megawatthours","ELEC.GEN.GEO-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : biomass",,"ELEC.GEN.BIO-AK-99.A",,,,,,,,,,,,,,,,,,,,
"Alaska : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-AK-99.A","--",1,1,0,0,1,0,0,"--","--","--","--",0,0,0,0,0,0,0,0
"Alaska : other biomass","thousand megawatthours","ELEC.GEN.WAS-AK-99.A","--",11,5,9,5,6,10,5,7,6,3,3,52,63,55,43,44,45,38,40
"Alaska : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : all solar",,"ELEC.GEN.TSN-AK-99.A",,,,,,,,,,,,,,,,,,,,
"Alaska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Hawaii : all fuels (utility-scale)",,"ELEC.GEN.ALL-HI-99.A",,,,,,,,,,,,,,,,,,,,
"Hawaii : coal","thousand megawatthours","ELEC.GEN.COW-HI-99.A",1605,1546,1644,1604,1631,1549,1579,1648,1500,1546,1424,1537,1404,1511,1337,1497,1376,1311,1302,1165
"Hawaii : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-HI-99.A",8224,9467,8503,8945,9068,9054,8914,8670,8289,8087,7924,7483,7223,6926,7023,6640,6634,6749,6864,6164
"Hawaii : petroleum coke","thousand megawatthours","ELEC.GEN.PC-HI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii : natural gas","thousand megawatthours","ELEC.GEN.NG-HI-99.A",0,"--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--"
"Hawaii : nuclear","thousand megawatthours","ELEC.GEN.NUC-HI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-HI-99.A",101,95,91,94,96,120,92,84,113,70,93,115,78,94,121,91,66,97,95,93
"Hawaii : other renewables","thousand megawatthours","ELEC.GEN.AOR-HI-99.A",496,371,527,550,538,618,753,777,705,747,881,925,1127,1206,1218,1347,1322,1202,1089,1579
"Hawaii : wind","thousand megawatthours","ELEC.GEN.WND-HI-99.A",2,2,2,7,7,80,238,240,251,261,341,378,503,579,613,639,532,602,529,579
"Hawaii : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-HI-99.A","--","--","--","--","--","--","--",0,1,2,4,5,19,39,54,89,175,185,268,528
"Hawaii : geothermal","thousand megawatthours","ELEC.GEN.GEO-HI-99.A",207,73,178,213,222,212,230,234,168,201,224,261,275,254,230,260,323,110,0,208
"Hawaii : biomass",,"ELEC.GEN.BIO-HI-99.A",,,,,,,,,,,,,,,,,,,,
"Hawaii : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-HI-99.A","--","--","--","--","--","--","--","--","--",0,0,0,0,"--","--","--","--",0,0,0
"Hawaii : other biomass","thousand megawatthours","ELEC.GEN.WAS-HI-99.A",288,297,347,329,310,326,285,302,284,283,313,281,329,334,321,359,293,306,292,263
"Hawaii : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-HI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii : all solar",,"ELEC.GEN.TSN-HI-99.A",,,,,,,,,,,,,,,,,,,,
"Hawaii : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-HI-99.A","--","--","--","--","--","--","--",0,1,2,4,5,19,39,54,89,175,185,268,528
