"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fffh&geo=10fvvvvvvvvvo&sec=g&linechart=&columnchart=ELEC.GEN.COW-CT-99.A&map=ELEC.GEN.COW-CT-99.A&freq=A&start=2001&end=2020&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 23 2021 19:22:06 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"New Jersey : all solar",,"ELEC.GEN.TSN-NJ-99.A",,,,,,,,,,,,,,,,,,,,
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-99.A","--","--","--","--","--","--","--",3,11,21,69,304,437,514,628,835,926,990,1165,1591
"New York",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"New York : all fuels (utility-scale)",,"ELEC.GEN.ALL-NY-99.A",,,,,,,,,,,,,,,,,,,,
"New York : coal","thousand megawatthours","ELEC.GEN.COW-NY-99.A",23432,23239,23581,22853,20598,20968,21406,19154,12759,13583,9426,4551,4697,4592,2380,1770,770,690,422,144
"New York : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NY-99.A",16495,11436,19202,20987,22759,6324,7942,3588,2489,1490,926,580,1007,2136,1892,643,598,1591,512,210
"New York : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NY-99.A",17,98,90,218,1254,454,253,158,159,515,263,0,0,0,0,0,0,0,0,0
"New York : natural gas","thousand megawatthours","ELEC.GEN.NG-NY-99.A",38697,38451,28156,27294,31873,42134,45634,43856,41780,48916,50805,59462,54354,54380,56923,56793,47272,50810,47612,52985
"New York : nuclear","thousand megawatthours","ELEC.GEN.NUC-NY-99.A",40395,39617,40679,40640,42443,42224,42453,43209,43485,41870,42695,40775,44756,43039,44603,41571,42167,42919,44865,38470
"New York : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NY-99.A",23084,25048,24269,23990,25783,27345,25253,26723,27615,25472,27997,24652,24973,26087,26015,26888,30145,29630,30621,31435
"New York : other renewables","thousand megawatthours","ELEC.GEN.AOR-NY-99.A",1801,1808,1735,1912,1988,2597,2775,3319,4467,4815,4896,5192,5888,6447,6319,6323,6605,6438,6926,8050
"New York : wind","thousand megawatthours","ELEC.GEN.WND-NY-99.A",21,82,41,116,103,655,833,1251,2266,2596,2828,2992,3539,3968,3977,3940,4136,3998,4456,4952
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-99.A","--","--","--","--","--","--","--","--","--","--",6,53,67,71,101,140,183,297,524,1122
"New York : geothermal","thousand megawatthours","ELEC.GEN.GEO-NY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New York : biomass",,"ELEC.GEN.BIO-NY-99.A",,,,,,,,,,,,,,,,,,,,
"New York : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-NY-99.A",503,412,412,497,528,522,492,555,536,547,442,488,608,739,616,639,620,526,472,468
"New York : other biomass","thousand megawatthours","ELEC.GEN.WAS-NY-99.A",1278,1314,1283,1298,1358,1419,1449,1513,1665,1671,1619,1660,1674,1669,1625,1605,1666,1616,1474,1509
"New York : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NY-99.A",-931,-921,-912,-813,-781,-756,-768,-672,-480,-529,-433,-413,-443,-491,-423,-471,-416,-431,-316,-328
"New York : all solar",,"ELEC.GEN.TSN-NY-99.A",,,,,,,,,,,,,,,,,,,,
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-99.A","--","--","--","--","--","--","--","--","--","--",6,53,67,71,101,140,183,297,524,1122
"Pennsylvania",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Pennsylvania : all fuels (utility-scale)",,"ELEC.GEN.ALL-PA-99.A",,,,,,,,,,,,,,,,,,,,
"Pennsylvania : coal","thousand megawatthours","ELEC.GEN.COW-PA-99.A",111900,113906,116010,117176,120933,122558,122693,117583,105475,110369,100603,87148,88443,78986,64637,54672,47634,44086,37929,23821
"Pennsylvania : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-PA-99.A",3371,2269,3964,3542,4537,1251,1307,730,734,567,419,248,302,641,571,273,256,559,157,73
"Pennsylvania : petroleum coke","thousand megawatthours","ELEC.GEN.PC-PA-99.A",192,464,572,600,403,268,177,208,181,4,23,35,158,162,158,90,99,66,28,0
